model,terrain,offset,hp,resources,mean_perp_dist,mean_signed_perp,max_perp_dist,path_length,path_ratio,reached,steps,normalized_attraction,mountain_steps
mlp_1m,forest,baseline,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,0.0,0.0
mlp_1m,forest,10,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,12,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,14,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,16,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,18,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,20,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,baseline,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,0.0,0.0
mlp_1m,forest,10,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,12,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,14,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,16,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,18,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,20,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,baseline,100,20,0.0,0.0,0.0,51.0,1.02,1.0,51.0,0.0,0.0
mlp_1m,forest,10,100,20,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,12,100,20,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,14,100,20,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,16,100,20,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,18,100,20,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,20,100,20,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
mlp_1m,forest,baseline,100,0,0.0,0.0,0.0,49.0,0.98,0.0,49.0,0.0,0.0
mlp_1m,forest,10,100,0,0.7,-0.7,7.0,49.0,0.98,0.0,49.0,0.06999999999999999,0.0
mlp_1m,forest,12,100,0,0.0,0.0,0.0,49.0,0.98,0.0,49.0,-0.0,0.0
mlp_1m,forest,14,100,0,0.0,0.0,0.0,49.0,0.98,0.0,49.0,-0.0,0.0
mlp_1m,forest,16,100,0,0.0,0.0,0.0,49.0,0.98,0.0,49.0,-0.0,0.0
mlp_1m,forest,18,100,0,0.0,0.0,0.0,49.0,0.98,0.0,49.0,-0.0,0.0
mlp_1m,forest,20,100,0,0.0,0.0,0.0,49.0,0.98,0.0,49.0,-0.0,0.0
mlp_1m,forest,baseline,80,0,1.225,1.225,5.0,39.0,0.78,0.0,39.0,0.0,0.0
mlp_1m,forest,10,80,0,0.05,-0.05,1.0,39.0,0.78,0.0,39.0,0.005,0.0
mlp_1m,forest,12,80,0,0.125,-0.125,2.0,39.0,0.78,0.0,39.0,0.010416666666666666,0.0
mlp_1m,forest,14,80,0,0.225,-0.225,3.0,39.0,0.78,0.0,39.0,0.016071428571428573,0.0
mlp_1m,forest,16,80,0,0.0,0.0,0.0,39.0,0.78,0.0,39.0,-0.0,0.0
mlp_1m,forest,18,80,0,0.0,0.0,0.0,39.0,0.78,0.0,39.0,-0.0,0.0
mlp_1m,forest,20,80,0,0.0,0.0,0.0,39.0,0.78,0.0,39.0,-0.0,0.0
rnn_250k,forest,baseline,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,0.0,0.0
rnn_250k,forest,10,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,12,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,14,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,16,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,18,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,20,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,baseline,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,0.0,0.0
rnn_250k,forest,10,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,12,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,14,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,16,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,18,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,20,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,-0.0,0.0
rnn_250k,forest,baseline,100,20,0.0,0.0,0.0,51.0,1.02,1.0,51.0,0.0,0.0
rnn_250k,forest,10,100,20,1.7976190476190477,-1.7976190476190477,3.0,57.0,1.14,1.0,83.0,0.17976190476190476,0.0
rnn_250k,forest,12,100,20,2.9204545454545454,-2.9204545454545454,5.0,61.0,1.22,1.0,87.0,0.24337121212121213,0.0
rnn_250k,forest,14,100,20,3.849462365591398,-3.849462365591398,7.0,65.0,1.3,1.0,92.0,0.2749615975422427,0.0
rnn_250k,forest,16,100,20,4.989795918367347,-4.989795918367347,9.0,69.0,1.38,1.0,97.0,0.31186224489795916,0.0
rnn_250k,forest,18,100,20,5.970588235294118,-5.970588235294118,11.0,73.0,1.46,1.0,101.0,0.33169934640522875,0.0
rnn_250k,forest,20,100,20,6.787037037037037,-6.787037037037037,13.0,77.0,1.54,1.0,107.0,0.33935185185185185,0.0
rnn_250k,forest,baseline,100,0,0.0,0.0,0.0,49.0,0.98,0.0,49.0,0.0,0.0
rnn_250k,forest,10,100,0,2.0224719101123596,-2.0224719101123596,3.0,57.0,1.14,1.0,88.0,0.20224719101123595,0.0
rnn_250k,forest,12,100,0,2.652173913043478,-2.652173913043478,4.0,59.0,1.18,1.0,91.0,0.22101449275362317,0.0
rnn_250k,forest,14,100,0,3.979381443298969,-3.979381443298969,6.0,63.0,1.26,1.0,96.0,0.28424153166421207,0.0
rnn_250k,forest,16,100,0,5.235294117647059,-5.235294117647059,8.0,67.0,1.34,1.0,101.0,0.3272058823529412,0.0
rnn_250k,forest,18,100,0,6.273584905660377,-6.273584905660377,10.0,71.0,1.42,1.0,105.0,0.34853249475890985,0.0
rnn_250k,forest,20,100,0,7.252252252252252,-7.252252252252252,12.0,75.0,1.5,1.0,110.0,0.36261261261261263,0.0
rnn_250k,forest,baseline,80,0,0.0,0.0,0.0,39.0,0.78,0.0,39.0,0.0,0.0
rnn_250k,forest,10,80,0,2.064516129032258,-2.064516129032258,3.0,57.0,1.14,1.0,92.0,0.2064516129032258,0.0
rnn_250k,forest,12,80,0,2.7708333333333335,-2.7708333333333335,4.0,59.0,1.18,1.0,95.0,0.2309027777777778,0.0
rnn_250k,forest,14,80,0,4.1683168316831685,-4.1683168316831685,6.0,63.0,1.26,1.0,100.0,0.29773691654879775,0.0
rnn_250k,forest,16,80,0,5.386792452830188,-5.386792452830188,8.0,67.0,1.34,1.0,105.0,0.33667452830188677,0.0
rnn_250k,forest,18,80,0,6.54954954954955,-6.54954954954955,10.0,71.0,1.42,1.0,110.0,0.3638638638638639,0.0
rnn_250k,forest,20,80,0,2.9,-2.9,11.0,39.0,0.78,0.0,39.0,0.145,0.0
