model,terrain,offset,hp,resources,mean_perp_dist,mean_signed_perp,max_perp_dist,path_length,path_ratio,reached,steps,normalized_attraction,mountain_steps
mlp_1m,mountain,baseline,100,100,0.0,0.0,0.0,51.0,1.02,1.0,51.0,0.0,0.0
mlp_1m,mountain,2,100,100,1.126984126984127,-1.126984126984127,2.0,55.0,1.1,1.0,62.0,0.5634920634920635,5.0
mlp_1m,mountain,4,100,100,0.5423728813559322,-0.5423728813559322,1.0,58.0,1.16,0.0,58.0,0.13559322033898305,37.0
mlp_1m,mountain,8,100,100,2.37,-2.37,6.0,67.0,1.34,1.0,99.0,0.29625,15.0
mlp_1m,mountain,16,100,100,6.887755102040816,6.887755102040816,16.0,86.0,1.72,0.0,97.0,-0.430484693877551,51.0
mlp_1m,mountain,32,100,100,7.928571428571429,7.928571428571429,14.0,84.0,1.68,0.0,97.0,-0.24776785714285715,51.0
mlp_1m,mountain,baseline,100,50,0.0,0.0,0.0,51.0,1.02,1.0,51.0,0.0,0.0
mlp_1m,mountain,2,100,50,1.2465753424657535,-1.2465753424657535,2.0,55.0,1.1,1.0,72.0,0.6232876712328768,5.0
mlp_1m,mountain,4,100,50,0.7346938775510204,0.12244897959183673,4.0,48.0,0.96,0.0,48.0,-0.030612244897959183,24.0
mlp_1m,mountain,8,100,50,1.4375,1.3541666666666667,8.0,47.0,0.94,0.0,47.0,-0.16927083333333334,22.0
mlp_1m,mountain,16,100,50,8.072463768115941,8.072463768115941,16.0,68.0,1.36,0.0,68.0,-0.5045289855072463,31.0
mlp_1m,mountain,32,100,50,8.014492753623188,8.014492753623188,14.0,68.0,1.36,0.0,68.0,-0.2504528985507246,30.0
mlp_1m,mountain,baseline,100,20,0.0,0.0,0.0,51.0,1.02,1.0,51.0,0.0,0.0
mlp_1m,mountain,2,100,20,0.7288135593220338,-0.7288135593220338,2.0,35.0,0.7,0.0,58.0,0.3644067796610169,5.0
mlp_1m,mountain,4,100,20,0.2571428571428571,-0.2571428571428571,1.0,34.0,0.68,0.0,34.0,0.06428571428571428,13.0
mlp_1m,mountain,8,100,20,1.6428571428571428,1.5476190476190477,8.0,41.0,0.82,0.0,41.0,-0.19345238095238096,16.0
mlp_1m,mountain,16,100,20,5.66,5.66,15.0,49.0,0.98,0.0,49.0,-0.35375,19.0
mlp_1m,mountain,32,100,20,5.571428571428571,5.571428571428571,14.0,48.0,0.96,0.0,48.0,-0.17410714285714285,20.0
mlp_1m,mountain,baseline,100,0,0.0,0.0,0.0,49.0,0.98,0.0,49.0,0.0,0.0
mlp_1m,mountain,2,100,0,0.2903225806451613,-0.2903225806451613,2.0,30.0,0.6,0.0,30.0,0.14516129032258066,7.0
mlp_1m,mountain,4,100,0,0.5294117647058824,0.47058823529411764,3.0,33.0,0.66,0.0,33.0,-0.11764705882352941,10.0
mlp_1m,mountain,8,100,0,2.3076923076923075,2.3076923076923075,8.0,38.0,0.76,0.0,38.0,-0.28846153846153844,11.0
mlp_1m,mountain,16,100,0,2.5945945945945947,2.5945945945945947,12.0,36.0,0.72,0.0,36.0,-0.16216216216216217,13.0
